Division Name,Dept,Course,Name,Meth,Succ.,Compl,A,B,C,IPP,D,F,INP,W,Total
Fine Arts,PHOT,MUSI-555,"Kang, Soyun",ECC,0.0,0.0,0.0,0,0,0,0,0,0,1,1
Fine Arts,PHOT,MUSI-555,"Nachef, Joanna",ECC,1.0,1.0,1.0,0,0,0,0,0,0,0,1
Fine Arts,PHOT,MUSI-565,"Vizcarra, Raymundo",ECC,1.0,1.0,17.0,0,0,0,0,0,0,0,17
Fine Arts,PHOT,MUSI-567,"Moyer, David",ECC,1.0,1.0,8.0,0,0,0,0,0,0,0,8
Fine Arts,PHOT,MUSI-567,"Sills, David",ECC,1.0,1.0,13.0,0,0,0,0,0,0,0,13
Fine Arts,PHOT,PHOT-101,"Cho, Joshua",ECC,0.8,0.95,8.0,8,0,0,0,3,0,1,20
Fine Arts,PHOT,PHOT-101,"Simonson, Kurt",ECC,0.88,0.88,20.0,2,1,0,0,0,0,3,26
Fine Arts,PHOT,PHOT-101,"Sit, Weng San",ECC,0.73,0.83,14.0,4,4,0,0,3,0,5,30
Fine Arts,PHOT,PHOT-101,"Trine, Evan",ONLIN,0.5,0.9,8.0,3,4,0,1,11,0,3,30
Fine Arts,PHOT,PHOT-102,"Sit, Weng San",ECC,0.91,0.96,12.0,4,5,0,1,0,0,1,23
Fine Arts,PHOT,PHOT-106,"Thomas, Quang Nguyet",ECC,1.0,1.0,2.0,1,0,0,0,0,0,0,3
Fine Arts,PHOT,PHOT-150,"Naumann, Sonya",ONLIN,0.78,0.96,61.0,8,6,0,3,14,0,4,96
Fine Arts,PHOT,PHOT-150,"Nelson, Mark",ECC,0.82,0.96,34.0,31,14,0,2,11,0,4,96
Fine Arts,PHOT,PHOT-150,"Nelson, Mark",ONLIN,0.74,0.95,18.0,9,5,0,0,9,0,2,43
Fine Arts,PHOT,PHOT-150,"Schwenkmeyer, Karen",ONLIN,0.51,0.63,10.0,9,7,0,0,6,0,19,51
Fine Arts,PHOT,PHOT-150,"Simonson, Kurt",ECC,0.91,0.93,61.0,17,3,1,0,1,1,6,90
Fine Arts,PHOT,PHOT-202,"Cho, Joshua",ECC,1.0,1.0,7.0,0,1,0,0,0,0,0,8
Fine Arts,PHOT,PHOT-203,"Cho, Joshua",ECC,1.0,1.0,5.0,1,1,0,0,0,0,0,7
Fine Arts,PHOT,PHOT-204,"Sit, Weng San",ECC,0.9,0.95,13.0,3,2,0,1,0,0,1,20
Fine Arts,PHOT,PHOT-206AB,"Thomas, Quang Nguyet",ECC,1.0,1.0,1.0,0,0,0,0,0,0,0,1
Fine Arts,PHOT,PHOT-254,"Cho, Joshua",ECC,1.0,1.0,8.0,0,0,0,0,0,0,0,8
Fine Arts,PHOT,PHOT-257,"Trine, Evan",ONLIN,1.0,1.0,1.0,0,1,0,0,0,0,0,2
