Division Name,Dept,Course,Name,Meth,Succ.,Compl,A,B,C,IPP,D,F,INP,W,Total
Health Sciences        & Athletics,FTEC,FTEC-1,"Carey, Ryan",ONLIN,0.46,0.76,19,1,1,0,3,11,0,11,46
Health Sciences        & Athletics,FTEC,FTEC-120,"Rodrigues, Alex",ONLIN,0.47,0.5,5,8,1,0,1,0,0,15,30
Health Sciences        & Athletics,FTEC,FTEC-130,"Huben, Kevin",OFFST,0.96,0.96,6,13,3,0,0,0,0,1,23
Health Sciences        & Athletics,FTEC,FTEC-131,"Huben, Kevin",OFFST,0.96,0.96,6,16,0,0,0,0,0,1,23
Health Sciences        & Athletics,FTEC,FTEC-132,"Huben, Kevin",OFFST,0.96,0.96,10,8,4,0,0,0,0,1,23
Health Sciences        & Athletics,FTEC,FTEC-133,"Huben, Kevin",OFFST,0.91,0.96,1,15,5,0,0,1,0,1,23
Health Sciences        & Athletics,FTEC,FTEC-134,"Huben, Kevin",OFFST,0.91,0.91,1,8,12,0,0,0,0,2,23
Health Sciences        & Athletics,FTEC,FTEC-135,"Huben, Kevin",OFFST,0.91,0.91,0,13,8,0,0,0,0,2,23
Health Sciences        & Athletics,FTEC,FTEC-136,"Huben, Kevin",OFFST,0.91,0.91,0,12,9,0,0,0,0,2,23
Health Sciences        & Athletics,FTEC,FTEC-137,"Huben, Kevin",OFFST,0.91,0.91,0,12,9,0,0,0,0,2,23
Health Sciences        & Athletics,FTEC,FTEC-139,"Huben, Kevin",OFFST,0.74,1.0,0,0,0,17,0,0,6,0,23
Health Sciences        & Athletics,FTEC,FTEC-144,"Carey, Ryan",ECC,0.87,0.93,48,2,9,0,0,4,0,5,68
Health Sciences        & Athletics,FTEC,FTEC-144,"Garcia, Leonard",ECC,0.88,0.89,29,20,9,0,0,1,0,7,66
Health Sciences        & Athletics,FTEC,FTEC-144,"Rodrigues, Alex",ECC,0.88,0.89,29,20,9,0,0,1,0,7,66
Health Sciences        & Athletics,FTEC,FTEC-150,"Millikan, Kevin",OFFST,1.0,1.0,0,0,0,71,0,0,0,0,71
